,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
1054, PA,Reading,Police and Sheriff's Patrol Officers,660,3.858,32.05,"66,670",31.82,"66,180"
1055, PA,Scranton--Wilkes-Barre--Hazleton,First-Line Supervisors of Police and Detectives,140,0.526,40.96,"85,200",37.98,"78,990"
1056, PA,Scranton--Wilkes-Barre--Hazleton,Correctional Officers and Jailers,720,2.817,27.32,"56,830",29.21,"60,760"
1057, PA,Scranton--Wilkes-Barre--Hazleton,Detectives and Criminal Investigators,80,0.325,41.55,"86,430",39.61,"82,390"
1058, PA,Scranton--Wilkes-Barre--Hazleton,Police and Sheriff's Patrol Officers,"1,430",5.573,26.09,"54,260",23.54,"48,970"
1059, PA,State College,Detectives and Criminal Investigators,30,0.496,35.26,"73,340",34.84,"72,460"
1060, PA,State College,Police and Sheriff's Patrol Officers,170,2.435,34.56,"71,890",35.86,"74,590"
1061, PA,Williamsport,First-Line Supervisors of Police and Detectives,30,0.622,44.84,"93,270",44.33,"92,210"
1062, PA,Williamsport,Police and Sheriff's Patrol Officers,210,4.143,29.52,"61,410",27.39,"56,970"
1063, PA,York-Hanover,First-Line Supervisors of Police and Detectives,100,0.538,38.08,"79,210",36.09,"75,060"
1064, PA,York-Hanover,Detectives and Criminal Investigators,70,0.398,37.64,"78,300",36.83,"76,610"
1065, PA,York-Hanover,Police and Sheriff's Patrol Officers,560,3.099,30.11,"62,640",29.83,"62,060"
1066, PR,Aguadilla-Isabela,First-Line Supervisors of Police and Detectives,50,1.122,13.04,"27,130",9.65,"20,080"
1067, PR,Aguadilla-Isabela,Police and Sheriff's Patrol Officers,170,3.936,8.84,"18,390",8.72,"18,140"
1068, PR,Arecibo,First-Line Supervisors of Police and Detectives,50,1.881,12.49,"25,980",11.71,"24,360"
1069, PR,Arecibo,Police and Sheriff's Patrol Officers,130,4.538,24.69,"51,350",8.90,"18,520"
